,Agent,Monster,Tree2,Tree7,Tree12,Tree17,Tree22
1072,16.0,23.0,2.0,2.0,0.0,0.0,2.0
1073,16.0,18.0,1.0,1.0,1.0,2.0,0.0
1074,1.0,4.0,0.0,2.0,2.0,1.0,0.0
1075,6.0,8.0,0.0,0.0,0.0,2.0,1.0
1076,6.0,4.0,0.0,2.0,1.0,2.0,2.0
1077,1.0,3.0,2.0,0.0,1.0,1.0,1.0
1078,16.0,23.0,1.0,1.0,2.0,0.0,2.0
1079,6.0,9.0,1.0,0.0,0.0,0.0,0.0
1080,11.0,13.0,1.0,2.0,1.0,2.0,1.0
1081,11.0,13.0,1.0,2.0,0.0,1.0,2.0
1082,6.0,8.0,2.0,0.0,1.0,1.0,0.0
1083,16.0,18.0,2.0,2.0,1.0,2.0,1.0
1084,21.0,23.0,2.0,1.0,0.0,2.0,0.0
1085,11.0,14.0,2.0,0.0,0.0,1.0,0.0
1086,11.0,18.0,1.0,2.0,1.0,2.0,2.0
1087,16.0,18.0,2.0,1.0,1.0,0.0,1.0
1088,16.0,18.0,1.0,1.0,2.0,0.0,1.0
1089,1.0,4.0,1.0,2.0,1.0,2.0,0.0
1090,11.0,13.0,1.0,0.0,0.0,2.0,1.0
1091,6.0,8.0,1.0,2.0,0.0,2.0,1.0
1092,6.0,8.0,1.0,0.0,1.0,0.0,1.0
1093,16.0,19.0,0.0,2.0,2.0,1.0,1.0
1094,11.0,13.0,1.0,0.0,0.0,0.0,2.0
1095,6.0,4.0,1.0,1.0,1.0,2.0,1.0
1096,15.0,19.0,0.0,1.0,0.0,1.0,2.0
1097,15.0,19.0,1.0,1.0,1.0,1.0,1.0
1098,6.0,8.0,2.0,0.0,2.0,2.0,0.0
1099,16.0,18.0,0.0,0.0,1.0,0.0,1.0
1100,1.0,3.0,2.0,2.0,0.0,2.0,2.0
1101,5.0,8.0,1.0,0.0,2.0,0.0,1.0
1102,1.0,4.0,0.0,2.0,2.0,1.0,2.0
1103,21.0,23.0,1.0,2.0,1.0,1.0,0.0
1104,16.0,19.0,2.0,2.0,0.0,0.0,2.0
1105,16.0,19.0,0.0,2.0,1.0,0.0,2.0
1106,1.0,3.0,0.0,1.0,2.0,1.0,1.0
1107,6.0,8.0,1.0,0.0,0.0,2.0,1.0
1108,5.0,4.0,0.0,1.0,2.0,2.0,1.0
1109,6.0,3.0,2.0,0.0,1.0,0.0,2.0
1110,11.0,14.0,1.0,0.0,2.0,1.0,1.0
1111,20.0,23.0,2.0,1.0,1.0,1.0,0.0
1112,11.0,13.0,0.0,0.0,2.0,1.0,1.0
1113,6.0,8.0,1.0,0.0,1.0,0.0,2.0
1114,11.0,13.0,2.0,2.0,0.0,2.0,1.0
1115,11.0,4.0,1.0,1.0,2.0,1.0,0.0
1116,1.0,4.0,2.0,0.0,2.0,2.0,0.0
1117,6.0,8.0,2.0,1.0,0.0,2.0,0.0
1118,15.0,19.0,1.0,0.0,2.0,1.0,1.0
1119,1.0,3.0,0.0,2.0,1.0,2.0,1.0
1120,6.0,9.0,1.0,0.0,1.0,1.0,2.0
1121,20.0,23.0,2.0,2.0,1.0,1.0,1.0
1122,11.0,13.0,2.0,1.0,0.0,2.0,2.0
1123,16.0,19.0,1.0,2.0,1.0,1.0,1.0
1124,6.0,8.0,0.0,0.0,2.0,2.0,0.0
1125,11.0,13.0,1.0,2.0,0.0,0.0,2.0
1126,1.0,4.0,0.0,0.0,1.0,2.0,2.0
1127,6.0,8.0,1.0,2.0,1.0,1.0,2.0
1128,6.0,3.0,2.0,1.0,2.0,2.0,1.0
1129,11.0,14.0,1.0,2.0,2.0,2.0,2.0
1130,21.0,23.0,2.0,2.0,0.0,2.0,0.0
1131,11.0,13.0,2.0,1.0,0.0,0.0,0.0
1132,16.0,18.0,2.0,0.0,1.0,0.0,2.0
1133,6.0,3.0,1.0,1.0,2.0,2.0,2.0
1134,6.0,9.0,1.0,1.0,2.0,0.0,1.0
1135,21.0,23.0,2.0,1.0,1.0,1.0,0.0
1136,6.0,9.0,1.0,1.0,1.0,1.0,1.0
1137,21.0,23.0,0.0,1.0,2.0,2.0,0.0
1138,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1139,6.0,9.0,2.0,1.0,2.0,1.0,0.0
1140,1.0,3.0,0.0,1.0,0.0,1.0,2.0
1141,6.0,8.0,0.0,0.0,0.0,0.0,1.0
1142,16.0,23.0,2.0,1.0,1.0,0.0,0.0
1143,11.0,13.0,0.0,1.0,0.0,0.0,1.0
1144,11.0,14.0,1.0,2.0,1.0,2.0,1.0
1145,16.0,23.0,1.0,0.0,1.0,0.0,2.0
1146,1.0,4.0,0.0,1.0,1.0,0.0,2.0
1147,6.0,4.0,2.0,0.0,2.0,0.0,2.0
1148,20.0,23.0,1.0,2.0,1.0,0.0,1.0
1149,16.0,19.0,2.0,0.0,0.0,2.0,2.0
1150,11.0,14.0,1.0,1.0,0.0,0.0,2.0
1151,6.0,8.0,1.0,0.0,2.0,2.0,0.0
1152,16.0,19.0,2.0,0.0,2.0,0.0,1.0
1153,0.0,4.0,1.0,2.0,0.0,0.0,2.0
1154,6.0,8.0,0.0,0.0,2.0,1.0,2.0
1155,1.0,3.0,0.0,2.0,0.0,2.0,2.0
1156,1.0,3.0,1.0,2.0,2.0,0.0,0.0
1157,6.0,4.0,1.0,1.0,2.0,2.0,2.0
1158,21.0,23.0,1.0,1.0,2.0,0.0,0.0
1159,1.0,3.0,2.0,2.0,2.0,1.0,1.0
1160,6.0,3.0,2.0,1.0,0.0,1.0,1.0
1161,21.0,23.0,2.0,1.0,2.0,2.0,1.0
1162,16.0,19.0,0.0,1.0,2.0,1.0,2.0
1163,11.0,13.0,1.0,1.0,0.0,2.0,2.0
1164,6.0,8.0,2.0,1.0,2.0,1.0,1.0
1165,11.0,8.0,0.0,2.0,2.0,2.0,1.0
1166,0.0,3.0,0.0,0.0,2.0,2.0,1.0
1167,6.0,8.0,2.0,1.0,0.0,1.0,1.0
1168,15.0,19.0,2.0,1.0,0.0,2.0,1.0
1169,11.0,13.0,1.0,2.0,0.0,2.0,0.0
1170,11.0,14.0,0.0,1.0,0.0,1.0,2.0
1171,6.0,8.0,2.0,2.0,0.0,1.0,1.0
1172,11.0,14.0,1.0,0.0,1.0,2.0,1.0
1173,15.0,23.0,1.0,2.0,0.0,1.0,0.0
1174,16.0,23.0,2.0,0.0,1.0,2.0,0.0
1175,11.0,14.0,1.0,1.0,0.0,2.0,0.0
1176,16.0,18.0,1.0,1.0,1.0,1.0,1.0
1177,15.0,19.0,1.0,2.0,1.0,1.0,2.0
1178,1.0,4.0,0.0,1.0,1.0,2.0,1.0
1179,6.0,9.0,0.0,1.0,2.0,2.0,0.0
1180,6.0,9.0,1.0,2.0,1.0,1.0,2.0
1181,20.0,23.0,1.0,0.0,0.0,1.0,0.0
1182,1.0,4.0,0.0,0.0,2.0,0.0,0.0
1183,11.0,8.0,1.0,1.0,1.0,1.0,1.0
1184,20.0,23.0,0.0,1.0,1.0,0.0,1.0
1185,6.0,8.0,0.0,2.0,1.0,2.0,0.0
1186,6.0,3.0,0.0,1.0,2.0,0.0,0.0
1187,20.0,23.0,0.0,1.0,0.0,2.0,0.0
1188,21.0,23.0,0.0,2.0,1.0,2.0,1.0
1189,11.0,13.0,2.0,1.0,2.0,1.0,2.0
1190,16.0,19.0,0.0,2.0,2.0,2.0,0.0
1191,16.0,23.0,0.0,0.0,2.0,0.0,0.0
1192,21.0,23.0,2.0,1.0,2.0,2.0,0.0
1193,11.0,13.0,2.0,1.0,1.0,2.0,0.0
1194,16.0,18.0,0.0,1.0,1.0,2.0,2.0
1195,0.0,3.0,0.0,1.0,2.0,2.0,0.0
1196,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1197,16.0,19.0,1.0,2.0,2.0,2.0,2.0
1198,11.0,13.0,0.0,2.0,0.0,2.0,2.0
1199,16.0,23.0,2.0,0.0,0.0,1.0,1.0
