Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,uncertainty,fidelity,sparsity,num_cfs,exceptionality,Value,Found
318,"[16.0, 19.0, 1.0, 0.0, 1.0, 2.0, 1.0]","[15.0, 19.0, 1.0, 0.0, 1.0, 2.0, 1.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 1}]","Agent: 15.0 Monster: 19.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 1}]","[1, 1, 0]","[5, 2, -1]",0.9,0.025255574146285653,0.6666666666666666,False,1.0,0,1
318,"[16.0, 19.0, 1.0, 0.0, 1.0, 2.0, 1.0]","[15.0, 19.0, 1.0, 0.0, 1.0, 2.0, 1.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 1}]","Agent: 15.0 Monster: 19.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 1}]","[1, 1, 0]","[1, 2, 1]",0.1,0.2714332689841588,1.0,False,0.7777777777777778,0,1
329,"[1.0, 3.0, 2.0, 2.0, 1.0, 1.0, 2.0]","[0.0, 3.0, 2.0, 2.0, 1.0, 1.0, 2.0]","Agent: 1.0 Monster: 3.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}, {22: 2}]","Agent: 0.0 Monster: 3.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}, {22: 2}]","[3, 3, 0]","[0, 2, 5]",1.0,0.06471877840037148,1.0,False,0.4112554112554112,0,1
329,"[1.0, 3.0, 2.0, 2.0, 1.0, 1.0, 2.0]","[0.0, 3.0, 2.0, 2.0, 1.0, 1.0, 2.0]","Agent: 1.0 Monster: 3.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}, {22: 2}]","Agent: 0.0 Monster: 3.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}, {22: 2}]","[3, 3, 0]","[2, 3, 3]",0.1,0.2587629556655884,1.0,False,1.0,0,1
459,"[6.0, 9.0, 1.0, 0.0, 2.0, 1.0, 1.0]","[5.0, 9.0, 1.0, 0.0, 2.0, 1.0, 1.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {12: 2}, {17: 1}, {22: 1}]","Agent: 5.0 Monster: 9.0 Trees: [{2: 1}, {12: 2}, {17: 1}, {22: 1}]","[0, 3, 4]","[4, 2, -1]",0.7,0.08178573101758957,0.6666666666666666,False,0.5208333333333334,0,1
499,"[11.0, 14.0, 0.0, 2.0, 0.0, 1.0, 0.0]","[15.0, 14.0, 0.0, 2.0, 0.0, 1.0, 0.0]","Agent: 11.0 Monster: 14.0 Trees: [{7: 2}, {17: 1}]","Agent: 15.0 Monster: 14.0 Trees: [{7: 2}, {17: 1}]","[1, 0, 4]","[1, 2, 2]",0.2,0.058939666487276554,1.0,False,1.0,0,1
555,"[16.0, 19.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[15.0, 19.0, 1.0, 1.0, 1.0, 1.0, 2.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 1}, {7: 1}, {12: 1}, {17: 1}, {22: 2}]","Agent: 15.0 Monster: 19.0 Trees: [{2: 1}, {7: 1}, {12: 1}, {17: 1}, {22: 2}]","[1, 1, 1]","[0, 4, 2]",0.2,0.3328856552640597,1.0,False,0.6041666666666666,0,1
621,"[1.0, 4.0, 0.0, 0.0, 0.0, 1.0, 2.0]","[5.0, 4.0, 0.0, 0.0, 0.0, 1.0, 2.0]","Agent: 1.0 Monster: 4.0 Trees: [{17: 1}, {22: 2}]","Agent: 5.0 Monster: 4.0 Trees: [{17: 1}, {22: 2}]","[3, 0, 4]","[1, 2, -1]",0.1,0.02935581048950553,0.6666666666666666,False,1.0,0,1
637,"[6.0, 3.0, 2.0, 1.0, 0.0, 0.0, 2.0]","[16.0, 3.0, 2.0, 1.0, 0.0, 0.0, 2.0]","Agent: 6.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {22: 2}]","Agent: 16.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {22: 2}]","[3, 3, 3]","[5, 1, 1]",0.2,0.04123614728450775,1.0,False,1.0,0,1
637,"[6.0, 3.0, 2.0, 1.0, 0.0, 0.0, 2.0]","[16.0, 3.0, 2.0, 1.0, 0.0, 0.0, 2.0]","Agent: 6.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {22: 2}]","Agent: 16.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {22: 2}]","[3, 3, 3]","[3, -1, -1]",0.1,0.5689799785614014,0.3333333333333333,False,1.0,0,1
653,"[11.0, 13.0, 0.0, 2.0, 0.0, 1.0, 2.0]","[15.0, 13.0, 0.0, 2.0, 0.0, 1.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{7: 2}, {17: 1}, {22: 2}]","Agent: 15.0 Monster: 13.0 Trees: [{7: 2}, {17: 1}, {22: 2}]","[3, 3, 4]","[2, 1, -1]",0.6,0.04010785045102239,0.6666666666666666,False,1.0,0,1
