Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,sparsity,fidelity,exceptionality,uncertainty,num_cfs,Value,Found
84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 2}, {17: 1}, {22: 1}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 2}, {17: 1}, {22: 1}]","[3, 3, 0]","[0, 1, 0]",1.0,0.17722223326563835,1.0,1.0,False,0,1
84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 2}, {17: 1}, {22: 1}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 2}, {17: 1}, {22: 1}]","[3, 3, 0]","[3, 2, 0]",1.0,0.31159283593297005,1.0,0.1,False,0,1
86,"[1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[16.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","Agent: 1.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 1}]","Agent: 16.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 1}]","[3, 3, 0]","[-1, 1, 0]",0.6666666666666666,0.10042107477784157,1.0,0.1,False,0,1
91,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 2.0]","[0.0, 4.0, 0.0, 1.0, 2.0, 0.0, 2.0]","Agent: 1.0 Monster: 4.0 Trees: [{7: 1}, {12: 2}, {22: 2}]","Agent: 0.0 Monster: 4.0 Trees: [{7: 1}, {12: 2}, {22: 2}]","[3, 3, 4]","[0, 2, 2]",1.0,0.08036492516597112,0.6904761904761904,0.1,False,0,1
99,"[1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","[11.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","Agent: 1.0 Monster: 4.0 Trees: [{7: 1}, {17: 1}, {22: 2}]","Agent: 11.0 Monster: 4.0 Trees: [{7: 1}, {17: 1}, {22: 2}]","[0, 3, 4]","[4, 1, 1]",1.0,0.04149505247672399,1.0,0.3,False,0,1
130,"[6.0, 9.0, 0.0, 2.0, 0.0, 1.0, 0.0]","[21.0, 9.0, 0.0, 2.0, 0.0, 1.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{7: 2}, {17: 1}]","Agent: 21.0 Monster: 9.0 Trees: [{7: 2}, {17: 1}]","[0, 3, 3]","[1, 0, 1]",1.0,0.15832155818740526,1.0,0.4,False,0,1
151,"[16.0, 19.0, 2.0, 2.0, 0.0, 0.0, 0.0]","[1.0, 19.0, 2.0, 2.0, 0.0, 0.0, 0.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}]","Agent: 1.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}]","[1, 0, 4]",,1.0,1.0,1.0,1.0,1,0,0
201,"[11.0, 13.0, 2.0, 0.0, 0.0, 2.0, 1.0]","[6.0, 13.0, 2.0, 0.0, 0.0, 2.0, 1.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 2}, {17: 2}, {22: 1}]","Agent: 6.0 Monster: 13.0 Trees: [{2: 2}, {17: 2}, {22: 1}]","[1, 1, 4]","[3, 0, 4]",1.0,0.054739320340255894,1.0,0.2,False,0,1
209,"[16.0, 18.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[11.0, 18.0, 1.0, 1.0, 0.0, 0.0, 0.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 1}, {7: 1}]","Agent: 11.0 Monster: 18.0 Trees: [{2: 1}, {7: 1}]","[3, 0, 4]","[0, 3, 2]",1.0,0.08976001727084319,1.0,0.2,False,0,1
256,"[11.0, 13.0, 1.0, 2.0, 0.0, 0.0, 0.0]","[16.0, 13.0, 1.0, 2.0, 0.0, 0.0, 0.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}]","Agent: 16.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}]","[1, 1, 4]","[4, 4, 1]",1.0,0.07255847069124381,1.0,0.1,False,0,1
