Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,sparsity,fidelity,exceptionality,uncertainty,num_cfs,Value,Found
1795,"[16.0, 23.0, 2.0, 0.0, 0.0, 2.0, 2.0]","[11.0, 23.0, 2.0, 0.0, 0.0, 2.0, 2.0]","Agent: 16.0 Monster: 23.0 Trees: [{2: 2}, {17: 2}, {22: 2}]","Agent: 11.0 Monster: 23.0 Trees: [{2: 2}, {17: 2}, {22: 2}]","[1, 1, 1]","[2, 3, 0]",1.0,0.11748380586504936,1.0,0.4,False,0,1
1795,"[16.0, 23.0, 2.0, 0.0, 0.0, 2.0, 2.0]","[11.0, 23.0, 2.0, 0.0, 0.0, 2.0, 2.0]","Agent: 16.0 Monster: 23.0 Trees: [{2: 2}, {17: 2}, {22: 2}]","Agent: 11.0 Monster: 23.0 Trees: [{2: 2}, {17: 2}, {22: 2}]","[1, 1, 1]","[1, 1, 4]",1.0,0.3749612805744012,1.0,0.1,False,0,1
1845,"[11.0, 14.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[6.0, 14.0, 0.0, 1.0, 0.0, 1.0, 1.0]","Agent: 11.0 Monster: 14.0 Trees: [{7: 1}, {17: 1}, {22: 1}]","Agent: 6.0 Monster: 14.0 Trees: [{7: 1}, {17: 1}, {22: 1}]","[1, 0, 4]","[2, 3, 0]",1.0,0.0867043286561966,1.0,0.2,False,0,1
1845,"[11.0, 14.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[5.0, 14.0, 0.0, 1.0, 0.0, 1.0, 1.0]","Agent: 11.0 Monster: 14.0 Trees: [{7: 1}, {17: 1}, {22: 1}]","Agent: 5.0 Monster: 14.0 Trees: [{7: 1}, {17: 1}, {22: 1}]","[1, 0, 4]","[3, 5, 2]",1.0,0.016630894077631336,1.0,0.4,False,0,1
1845,"[11.0, 14.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[1.0, 14.0, 0.0, 1.0, 0.0, 1.0, 1.0]","Agent: 11.0 Monster: 14.0 Trees: [{7: 1}, {17: 1}, {22: 1}]","Agent: 1.0 Monster: 14.0 Trees: [{7: 1}, {17: 1}, {22: 1}]","[1, 0, 4]","[3, 0, 3]",1.0,0.0413308876256148,1.0,0.5,False,0,1
1858,"[1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 2.0]","[0.0, 3.0, 0.0, 1.0, 2.0, 1.0, 2.0]","Agent: 1.0 Monster: 3.0 Trees: [{7: 1}, {12: 2}, {17: 1}, {22: 2}]","Agent: 0.0 Monster: 3.0 Trees: [{7: 1}, {12: 2}, {17: 1}, {22: 2}]","[0, 3, 4]","[1, 3, 2]",1.0,0.26639949188878137,0.8333333333333334,0.5,False,0,1
1858,"[1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 2.0]","[1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 2.0]","Agent: 1.0 Monster: 3.0 Trees: [{7: 1}, {12: 2}, {17: 1}, {22: 2}]","Agent: 1.0 Monster: 3.0 Trees: [{7: 1}, {12: 2}, {17: 1}, {22: 2}]","[0, 3, 4]","[4, 0, 4]",1.0,0.29190708448489505,0.6274509803921569,0.2,False,0,1
1858,"[1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 2.0]","[0.0, 3.0, 0.0, 1.0, 2.0, 1.0, 2.0]","Agent: 1.0 Monster: 3.0 Trees: [{7: 1}, {12: 2}, {17: 1}, {22: 2}]","Agent: 0.0 Monster: 3.0 Trees: [{7: 1}, {12: 2}, {17: 1}, {22: 2}]","[0, 3, 4]","[4, 2, 2]",1.0,0.09962549805641174,0.6875,0.6,False,0,1
1882,"[6.0, 8.0, 2.0, 0.0, 0.0, 2.0, 1.0]","[5.0, 8.0, 2.0, 0.0, 0.0, 2.0, 1.0]","Agent: 6.0 Monster: 8.0 Trees: [{2: 2}, {17: 2}, {22: 1}]","Agent: 5.0 Monster: 8.0 Trees: [{2: 2}, {17: 2}, {22: 1}]","[3, 3, 4]","[2, 1, 3]",1.0,0.26347273029386997,0.8333333333333334,0.1,False,0,1
1882,"[6.0, 8.0, 2.0, 0.0, 0.0, 2.0, 1.0]","[5.0, 8.0, 2.0, 0.0, 0.0, 2.0, 1.0]","Agent: 6.0 Monster: 8.0 Trees: [{2: 2}, {17: 2}, {22: 1}]","Agent: 5.0 Monster: 8.0 Trees: [{2: 2}, {17: 2}, {22: 1}]","[3, 3, 4]","[2, 3, 1]",1.0,0.2751349884395798,1.0,0.4,False,0,1
