Agent,Exit,Frozen1,Frozen2,Frozen3,Frozen4,Frozen5,Frozen6,test_idx,Fact id,sf_found
13.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,0,0,1
13.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,0,0,1
13.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,0,0,1
18.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,5,37,1
18.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,5,37,1
18.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,5,37,1
6.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0,7,44,1
6.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0,7,44,1
6.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0,7,44,1
10.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0,8,49,1
10.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0,8,49,1
10.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0,8,49,1
11.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,9,50,1
11.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,9,50,1
11.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,9,50,1
12.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,10,58,1
12.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,10,58,1
12.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,10,58,1
13.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0,12,63,1
13.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0,12,63,1
13.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0,12,63,1
23.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0,13,64,1
23.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0,13,64,1
23.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0,13,64,1
12.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,14,68,1
12.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,14,68,1
12.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,14,68,1
17.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,15,69,1
17.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,15,69,1
17.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,15,69,1
6.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0,16,71,1
6.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0,16,71,1
6.0,5.0,10.0,11.0,12.0,15.0,16.0,17.0,16,71,1
6.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0,17,74,1
6.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0,17,74,1
6.0,2.0,10.0,11.0,12.0,15.0,16.0,17.0,17,74,1
11.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,18,78,1
11.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,18,78,1
11.0,15.0,10.0,11.0,12.0,15.0,16.0,17.0,18,78,1
17.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,19,83,1
17.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,19,83,1
17.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,19,83,1
11.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,21,92,1
11.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,21,92,1
11.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,21,92,1
8.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,22,95,1
8.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,22,95,1
8.0,6.0,10.0,11.0,12.0,15.0,16.0,17.0,22,95,1
1.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0,23,107,1
1.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0,23,107,1
1.0,0.0,10.0,11.0,12.0,15.0,16.0,17.0,23,107,1
12.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,24,109,1
12.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,24,109,1
12.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,24,109,1
11.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0,25,116,1
11.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0,25,116,1
11.0,20.0,10.0,11.0,12.0,15.0,16.0,17.0,25,116,1
17.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,26,119,1
