,Fact id,Fact,SF,Fact actions,Recourse,fidelity,num_cfs,uncertainty,sparsity,exceptionality,Value
0,47,"[6.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0]","[11.0, 3.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[1, 4, 4]",0.03324475480864445,False,1.0,1.0,1.0,0
1,47,"[6.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0]","[1.0, 3.0, 1.0, 1.0, 2.0, 1.0, 2.0]","[3, 3, 3]","[3, 4, 3]",0.40601156900326413,False,0.2,1.0,0.7666666666666666,0
2,47,"[6.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0]","[11.0, 3.0, 2.0, 2.0, 2.0, 1.0, 2.0]","[3, 3, 3]","[4, 4, 1]",0.12723490099112192,False,1.0,1.0,0.7333333333333334,0
3,47,"[6.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0]","[0.0, 3.0, 2.0, 0.0, 2.0, 1.0, 2.0]","[3, 3, 3]","[4, 3, 2]",0.2490144670009613,False,1.0,1.0,0.5416666666666666,0
4,47,"[6.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0]","[0.0, 3.0, 2.0, 2.0, 2.0, 1.0, 2.0]","[3, 3, 3]","[4, 3, 2]",0.24882401898503304,False,1.0,1.0,0.7142857142857143,0
5,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[1.0, 4.0, 1.0, 1.0, 2.0, 0.0, 1.0]","[3, 3, 4]","[4, 5, -1]",0.03180896659614518,False,0.3,0.6666666666666666,1.0,0
6,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 1.0]","[3, 3, 4]","[4, 1, 4]",0.047341455395023026,False,1.0,1.0,0.6756756756756758,0
7,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[1.0, 4.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 4]","[2, 2, 0]",0.2285726567109426,False,0.3,1.0,0.8666666666666667,0
8,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[6.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[3, 3, 4]","[1, -1, -1]",0.013748112134635448,False,1.0,0.3333333333333333,1.0,0
9,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[10.0, 4.0, 1.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 4]","[1, 1, 2]",0.04006842989474535,False,1.0,1.0,0.6969696969696969,0
10,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[10.0, 4.0, 1.0, 1.0, 2.0, 2.0, 1.0]","[3, 3, 4]","[1, 1, 2]",0.03323900047689676,False,1.0,1.0,0.7222222222222222,0
11,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[6.0, 4.0, 2.0, 1.0, 2.0, 0.0, 1.0]","[3, 3, 4]","[4, 5, 1]",0.03722496086265892,False,0.1,1.0,1.0,0
12,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[1.0, 4.0, 2.0, 0.0, 2.0, 0.0, 1.0]","[3, 3, 4]","[1, 4, 3]",0.24156423999617496,False,0.3,1.0,0.7777777777777778,0
13,53,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 1.0]","[11.0, 4.0, 0.0, 1.0, 0.0, 2.0, 1.0]","[3, 3, 4]","[1, 1, 4]",0.011957974328349033,False,1.0,1.0,1.0,0
14,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[6.0, 9.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[4, 3, 1]",0.5111842767025033,False,0.2,1.0,0.6323809523809524,0
15,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 2.0, 2.0, 0.0, 1.0, 1.0]","[3, 3, 0]","[1, 4, -1]",0.03172469441778958,False,1.0,0.6666666666666666,1.0,0
16,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[8.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[4, 0, 0]",0.2938840414086978,False,0.3,1.0,0.9523809523809524,0
17,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[1.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[4, 3, 4]",0.22862239343036586,False,1.0,1.0,0.6323809523809524,0
18,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 2.0, 0.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[4, 1, -1]",0.34111026697792113,False,1.0,0.6666666666666666,0.44857142857142857,0
19,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[5.0, 9.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[4, 2, -1]",0.37245143204927444,False,0.2,0.6666666666666666,0.9285714285714286,0
20,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[0.0, 9.0, 0.0, 2.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[3, 4, 2]",0.029319345951080322,False,1.0,1.0,1.0,0
21,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[16.0, 9.0, 2.0, 2.0, 0.0, 1.0, 1.0]","[3, 3, 0]","[1, 4, 1]",0.0436165228796502,False,1.0,1.0,0.75,0
22,96,"[5.0, 3.0, 2.0, 1.0, 0.0, 2.0, 0.0]","[11.0, 3.0, 2.0, 1.0, 1.0, 2.0, 0.0]","[3, 3, 3]","[2, 1, 0]",0.1879339168469111,False,1.0,1.0,0.8666666666666667,0
23,96,"[5.0, 3.0, 2.0, 1.0, 0.0, 2.0, 0.0]","[11.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0]","[3, 3, 3]","[2, 1, 0]",0.16171818474928537,False,1.0,1.0,0.9166666666666666,0
24,96,"[5.0, 3.0, 2.0, 1.0, 0.0, 2.0, 0.0]","[10.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0]","[3, 3, 3]","[5, 1, 5]",0.01759887762212505,False,1.0,1.0,1.0,0
25,96,"[5.0, 3.0, 2.0, 1.0, 0.0, 2.0, 0.0]","[15.0, 3.0, 2.0, 1.0, 2.0, 2.0, 1.0]","[3, 3, 3]","[1, 1, -1]",0.06546957045793533,False,1.0,0.6666666666666666,1.0,0
26,140,"[6.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","[1.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","[3, 3, 3]","[0, 3, -1]",0.10015019960701466,False,1.0,0.6666666666666666,1.0,0
27,140,"[6.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","[11.0, 9.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[1, 5, 0]",0.0687174917741989,False,1.0,1.0,0.8333333333333334,0
28,140,"[6.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","[6.0, 9.0, 2.0, 2.0, 1.0, 0.0, 2.0]","[3, 3, 3]","[4, 4, 4]",0.2853812326987584,False,0.1,1.0,0.75,0
29,140,"[6.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","[11.0, 9.0, 2.0, 2.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[5, 4, 1]",0.24724781676195562,False,1.0,1.0,0.75,0
