Agent,Exit,Frozen1,Frozen2,Frozen3,Frozen4,Frozen5,Frozen6,test_idx,Fact id,sf_found
13.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,0,0,1
13.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,0,0,1
13.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,0,0,1
13.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,0,0,1
13.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,0,0,1
17.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0,1,2,1
17.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0,1,2,1
17.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0,1,2,1
17.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0,1,2,1
17.0,17.0,10.0,11.0,12.0,15.0,16.0,17.0,1,2,1
4.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,2,3,1
4.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,2,3,1
4.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,2,3,1
4.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,2,3,1
4.0,4.0,10.0,11.0,12.0,15.0,16.0,17.0,2,3,1
12.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,3,13,1
12.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,3,13,1
12.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,3,13,1
12.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,3,13,1
12.0,12.0,10.0,11.0,12.0,15.0,16.0,17.0,3,13,1
9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,4,14,1
9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,4,14,1
9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,4,14,1
9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,4,14,1
9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,4,14,1
24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0,5,16,1
24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0,5,16,1
24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0,5,16,1
24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0,5,16,1
24.0,24.0,10.0,11.0,12.0,15.0,16.0,17.0,5,16,1
23.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,6,17,1
23.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,6,17,1
23.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,6,17,1
23.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,6,17,1
23.0,23.0,10.0,11.0,12.0,15.0,16.0,17.0,6,17,1
19.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,7,24,1
19.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,7,24,1
19.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,7,24,1
19.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,7,24,1
19.0,19.0,10.0,11.0,12.0,15.0,16.0,17.0,7,24,1
13.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,8,29,1
13.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,8,29,1
13.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,8,29,1
13.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,8,29,1
13.0,13.0,10.0,11.0,12.0,15.0,16.0,17.0,8,29,1
12.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,9,30,1
12.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,9,30,1
12.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,9,30,1
12.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,9,30,1
12.0,21.0,10.0,11.0,12.0,15.0,16.0,17.0,9,30,1
1.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0,10,39,1
1.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0,10,39,1
1.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0,10,39,1
1.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0,10,39,1
1.0,1.0,10.0,11.0,12.0,15.0,16.0,17.0,10,39,1
11.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0,13,47,1
11.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0,13,47,1
11.0,11.0,10.0,11.0,12.0,15.0,16.0,17.0,13,47,1
