,Fact id,Fact,SF,Fact actions,Recourse,fidelity,uncertainty,num_cfs,sparsity,exceptionality,Value
67,62,"[16, 23, 10, 11, 12, 15, 16, 17]","[7, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[0, 1, -1]",0.3549441397190094,1.0,False,0.6666666666666666,0.8913043478260869,0
68,62,"[16, 23, 10, 11, 12, 15, 16, 17]","[16, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 1, 4]",0.35088242838780087,1.0,False,1.0,0.5755802767137185,0
69,62,"[16, 23, 10, 11, 12, 15, 16, 17]","[12, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 0, 1]",0.4270733445882797,1.0,False,1.0,0.5641910726783151,0
70,62,"[16, 23, 10, 11, 12, 15, 16, 17]","[5, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[2, 1, 4]",0.19691827148199081,1.0,False,1.0,0.6415701415701416,0
71,62,"[16, 23, 10, 11, 12, 15, 16, 17]","[4, 23, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[0, 0, 0]",0.15468691537777582,1.0,False,1.0,0.6842105263157895,0
72,70,"[3, 1, 10, 11, 12, 15, 16, 17]","[23, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 1, 2]",0.10760526855786641,1.0,False,1.0,0.3906027527289986,0
73,70,"[3, 1, 10, 11, 12, 15, 16, 17]","[24, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 0, -1]",0.048900503665208817,1.0,False,0.6666666666666666,0.5102040816326531,0
74,70,"[3, 1, 10, 11, 12, 15, 16, 17]","[14, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 4, 0]",0.18877164150277773,1.0,False,1.0,0.3005326161472341,0
75,70,"[3, 1, 10, 11, 12, 15, 16, 17]","[18, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 0, -1]",0.2379583641886711,1.0,False,0.6666666666666666,0.02949907235621521,0
76,70,"[3, 1, 10, 11, 12, 15, 16, 17]","[19, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 4, 0]",0.1133591899027427,1.0,False,1.0,0.3750988767600063,0
77,74,"[22, 13, 10, 11, 12, 15, 16, 17]","[15, 13, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[-1, 3, 1]",0.2096509374678135,0.2,False,0.6666666666666666,0.30756861063464835,0
78,74,"[22, 13, 10, 11, 12, 15, 16, 17]","[16, 13, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[0, 2, 2]",0.20035305370887121,0.6,False,1.0,0.35649396026754515,0
79,74,"[22, 13, 10, 11, 12, 15, 16, 17]","[22, 13, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[2, 4, 1]",0.11296708074708779,0.3,False,1.0,0.6709129511677282,0
80,74,"[22, 13, 10, 11, 12, 15, 16, 17]","[17, 13, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[2, 4, 1]",0.11198136024177074,0.3,False,1.0,0.6855345911949685,0
81,74,"[22, 13, 10, 11, 12, 15, 16, 17]","[18, 13, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[3, 3, 0]",0.3657280007998149,0.4,False,1.0,0.07056030226322259,0
82,76,"[11, 8, 10, 11, 12, 15, 16, 17]","[20, 8, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 2, 4]",0.04814407601952553,1.0,False,1.0,0.07971014492753624,0
83,76,"[11, 8, 10, 11, 12, 15, 16, 17]","[11, 8, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 4, 3]",0.32969585185249645,0.9,False,1.0,0.7330239374694676,0
84,77,"[7, 4, 10, 11, 12, 15, 16, 17]","[20, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 2, 1]",0.1166199619571368,1.0,False,1.0,0.3667966211825861,0
85,77,"[7, 4, 10, 11, 12, 15, 16, 17]","[24, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 0, 1]",0.06811601916948955,1.0,False,1.0,0.391358024691358,0
86,77,"[7, 4, 10, 11, 12, 15, 16, 17]","[12, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 2, -1]",0.44426847249269485,1.0,False,0.6666666666666666,0.4156041287188828,0
87,77,"[7, 4, 10, 11, 12, 15, 16, 17]","[21, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 2, 2]",0.09135849277178447,1.0,False,1.0,0.382716049382716,0
88,77,"[7, 4, 10, 11, 12, 15, 16, 17]","[19, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 0, 0]",0.2544164912154277,1.0,False,1.0,0.3088154508919536,0
89,77,"[7, 4, 10, 11, 12, 15, 16, 17]","[7, 4, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 3, 3]",0.574659526348114,0.9,False,1.0,0.652519239217893,0
