,Fact id,Fact,SF,Fact actions,Recourse,fidelity,num_cfs,uncertainty,sparsity,exceptionality,Value
0,24,"[11.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[11.0, 14.0, 2.0, 1.0, 2.0, 2.0, 1.0]","[3, 0, 4]","[5, 0, 3]",0.334851480438374,False,1.0,1.0,0.7142857142857143,0
1,24,"[11.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[20.0, 14.0, 2.0, 2.0, 2.0, 2.0, 0.0]","[3, 0, 4]","[1, 1, 4]",0.05168141176303228,False,1.0,1.0,1.0,0
2,24,"[11.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[17.0, 14.0, 1.0, 2.0, 2.0, 0.0, 0.0]","[3, 0, 4]","[0, 4, 0]",0.1957325842231512,False,1.0,1.0,0.7777777777777778,0
3,24,"[11.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[17.0, 14.0, 0.0, 0.0, 2.0, 0.0, 0.0]","[3, 0, 4]","[0, 4, 0]",0.20667190415163836,False,1.0,1.0,0.7222222222222222,0
4,24,"[11.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[17.0, 14.0, 0.0, 0.0, 2.0, 0.0, 2.0]","[3, 0, 4]","[0, 4, 0]",0.18707617248098055,False,1.0,1.0,0.8333333333333334,0
5,24,"[11.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[20.0, 14.0, 2.0, 0.0, 2.0, 2.0, 1.0]","[3, 0, 4]","[-1, 1, -1]",0.051994532346725464,False,1.0,0.3333333333333333,1.0,0
6,25,"[11.0, 14.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[5.0, 14.0, 2.0, 1.0, 2.0, 0.0, 1.0]","[0, 1, 4]","[2, 1, 3]",0.17831821367144585,False,0.6,1.0,1.0,0
7,25,"[11.0, 14.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[15.0, 14.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[0, 1, 4]","[1, 1, 4]",0.15365257238348326,False,1.0,1.0,1.0,0
8,25,"[11.0, 14.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[11.0, 14.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[0, 1, 4]","[1, 0, 4]",0.47776496410369873,False,1.0,1.0,0.7142857142857143,0
9,69,"[5.0, 9.0, 1.0, 0.0, 2.0, 2.0, 2.0]","[20.0, 9.0, 1.0, 0.0, 2.0, 2.0, 2.0]","[3, 3, 3]","[2, 2, -1]",0.0813402533531189,False,1.0,0.6666666666666666,1.0,0
10,69,"[5.0, 9.0, 1.0, 0.0, 2.0, 2.0, 2.0]","[10.0, 9.0, 1.0, 1.0, 2.0, 2.0, 2.0]","[3, 3, 3]","[3, 3, 2]",0.4384461467464765,False,1.0,1.0,0.7333333333333334,0
11,69,"[5.0, 9.0, 1.0, 0.0, 2.0, 2.0, 2.0]","[16.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","[3, 3, 3]","[0, 4, 3]",0.19327484257519245,False,1.0,1.0,0.8333333333333334,0
12,99,"[1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","[5.0, 4.0, 2.0, 1.0, 0.0, 1.0, 2.0]","[0, 3, 4]","[-1, 2, 2]",0.12292467802762985,False,1.0,0.6666666666666666,0.625,0
13,99,"[1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","[11.0, 4.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[0, 3, 4]","[1, 0, 4]",0.09060875202218692,False,1.0,1.0,0.8333333333333334,0
14,99,"[1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","[10.0, 4.0, 2.0, 1.0, 2.0, 0.0, 2.0]","[0, 3, 4]","[-1, 1, 5]",0.025074061122722924,False,1.0,0.6666666666666666,1.0,0
15,99,"[1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","[1.0, 4.0, 2.0, 0.0, 1.0, 2.0, 2.0]","[0, 3, 4]","[0, 4, 3]",0.32718568791945773,False,1.0,1.0,0.5,0
16,99,"[1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","[10.0, 4.0, 2.0, 1.0, 2.0, 2.0, 2.0]","[0, 3, 4]","[-1, 1, -1]",0.0473317988216877,False,1.0,0.3333333333333333,1.0,0
