,Fact id,Fact,SF,Fact actions,Recourse,fidelity,num_cfs,uncertainty,sparsity,exceptionality,Value
0,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[20.0, 9.0, 2.0, 0.0, 2.0, 1.0, 2.0]","[3, 3, 0]","[4, 5, 1]",0.009045552811585367,False,1.0,1.0,0.7222222222222223,0
1,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[17.0, 9.0, 2.0, 0.0, 2.0, 0.0, 0.0]","[3, 3, 0]","[2, 0, 0]",0.08606382459402084,False,0.7,1.0,1.0,0
2,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[10.0, 9.0, 2.0, 0.0, 2.0, 0.0, 0.0]","[3, 3, 0]","[3, 5, -1]",0.39216442755423486,False,1.0,0.6666666666666666,0.5833333333333334,0
3,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[15.0, 9.0, 2.0, 2.0, 2.0, 0.0, 2.0]","[3, 3, 0]","[5, -1, -1]",0.0005786084802821279,False,1.0,0.3333333333333333,1.0,0
4,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[5.0, 9.0, 2.0, 1.0, 2.0, 2.0, 0.0]","[3, 3, 0]","[3, 3, 5]",0.4059316720813513,False,0.1,1.0,1.0,0
5,84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[18.0, 9.0, 2.0, 2.0, 2.0, 0.0, 2.0]","[3, 3, 0]","[0, 0, 0]",0.1385532170534134,False,0.8,1.0,0.7000000000000001,0
6,86,"[1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[6.0, 3.0, 2.0, 0.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[0, 0, 3]",0.3563447842995326,False,0.6,1.0,0.7777777777777778,0
7,86,"[1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[15.0, 3.0, 2.0, 0.0, 0.0, 1.0, 1.0]","[3, 3, 0]","[4, 5, 1]",0.07215019812186559,False,1.0,1.0,0.7222222222222223,0
8,86,"[1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[15.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0]","[3, 3, 0]","[4, 5, 1]",0.06508401331181328,False,1.0,1.0,1.0,0
9,86,"[1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[5.0, 3.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[3, 3, 0]","[-1, 3, 2]",0.23618602380156517,False,1.0,0.6666666666666666,0.75,0
10,86,"[1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[12.0, 3.0, 2.0, 0.0, 0.0, 1.0, 1.0]","[3, 3, 0]","[0, 4, 0]",0.14303109298149744,False,0.7,1.0,1.0,0
11,86,"[1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[6.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[3, 2, 0]",0.2768203591307004,False,1.0,1.0,0.5666666666666667,0
12,86,"[1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[13.0, 3.0, 2.0, 0.0, 2.0, 1.0, 1.0]","[3, 3, 0]","[0, 0, 0]",0.16113506009181341,False,0.6,1.0,1.0,0
13,91,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 2.0]","[12.0, 4.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[3, 3, 4]","[4, 0, 3]",0.1470392420887947,False,0.9,1.0,0.9259259259259259,0
14,91,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 2.0]","[6.0, 4.0, 2.0, 1.0, 1.0, 2.0, 2.0]","[3, 3, 4]","[3, 3, 1]",0.4849193003028631,False,1.0,1.0,0.7037037037037037,0
15,91,"[1.0, 4.0, 0.0, 1.0, 2.0, 0.0, 2.0]","[6.0, 4.0, 1.0, 1.0, 0.0, 0.0, 2.0]","[3, 3, 4]","[5, 4, 3]",0.25491956369175267,False,1.0,1.0,0.7777777777777778,0
