,Fact id,Fact,SF,Fact actions,Recourse,fidelity,uncertainty,num_cfs,sparsity,exceptionality,Value
0,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[12, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[0, 3, 4]",0.12028818701704343,1.0,False,1.0,0.01818709841362036,0
1,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[8, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[0, 3, 4]",0.09799594370027383,1.0,False,1.0,0.03634719980873827,0
2,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[11, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[3, 2, 0]",0.118222380677859,1.0,False,1.0,0.018994082840236685,0
3,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[1, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[3, 3, 2]",0.05940098688006401,0.7,False,1.0,0.35719921104536495,0
4,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[16, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[3, 3, -1]",0.041182395070791245,1.0,False,0.6666666666666666,0.5088757396449705,0
5,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[23, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[1, 3, 1]",0.2061246456578374,0.3,False,1.0,0.20027495165586992,0
6,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[14, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[2, 0, 0]",0.10755797351400058,0.8,False,1.0,0.02163328124866586,0
7,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[8, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[0, 4, 1]",0.030914274975657463,1.0,False,1.0,0.029088465944136044,0
8,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[6, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[2, 1, -1]",0.3318539084866643,1.0,False,0.6666666666666666,0.4343596173493081,0
9,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[12, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[1, 1, 4]",0.0352122001349926,1.0,False,1.0,0.023397860582361114,0
10,10,"[3, 3, 10, 11, 12, 15, 16, 17]","[7, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 2]","[1, 4, 2]",0.015499670679370562,1.0,False,1.0,0.03476324614352783,0
11,10,"[3, 3, 10, 11, 12, 15, 16, 17]","[13, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 2]","[1, 1, -1]",0.010013335384428501,1.0,False,0.6666666666666666,0.044144869215291746,0
12,11,"[20, 20, 10, 11, 12, 15, 16, 17]","[17, 20, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[3, 0, 0]",0.007590331913282474,1.0,False,1.0,0.027777777777777776,0
13,14,"[19, 22, 10, 11, 12, 15, 16, 17]","[23, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[2, 1, -1]",0.544894814491272,1.0,False,0.6666666666666666,0.4160496515679442,0
14,14,"[19, 22, 10, 11, 12, 15, 16, 17]","[9, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[3, 3, -1]",0.054044390097260475,1.0,False,0.6666666666666666,0.5188679245283019,0
15,14,"[19, 22, 10, 11, 12, 15, 16, 17]","[8, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[3, 3, 2]",0.07478892182310422,1.0,False,1.0,0.3607267645003494,0
16,14,"[19, 22, 10, 11, 12, 15, 16, 17]","[17, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[2, 4, 2]",0.13057894445955753,1.0,False,1.0,0.060104529616724724,0
17,19,"[11, 16, 10, 11, 12, 15, 16, 17]","[22, 16, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[2, 1, 1]",0.03288218937814236,0.5,False,1.0,0.012860513164385806,0
