,Fact id,Fact,SF,Fact actions,Recourse,fidelity,uncertainty,num_cfs,sparsity,exceptionality,Value
0,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[14, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[3, 0, -1]",0.1132146343588829,1.0,False,0.6666666666666666,0.011598977945131792,0
1,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[16, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[0, 1, -1]",0.1791193075478077,0.4,False,0.6666666666666666,0.012052129088466984,0
2,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[2, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[3, 3, 4]",0.0364006602515777,1.0,False,1.0,0.35719921104536495,0
3,0,"[12, 19, 10, 11, 12, 15, 16, 17]","[1, 19, 10, 11, 12, 15, 16, 17]","[1, 0, 1]","[4, 2, 3]",0.09897242486476898,0.5,False,1.0,0.012655117511465983,0
4,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[9, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[0, 1, 0]",0.039989037439227104,1.0,False,1.0,0.03549872235439246,0
5,2,"[2, 1, 10, 11, 12, 15, 16, 17]","[13, 1, 10, 11, 12, 15, 16, 17]","[2, 3, 2]","[1, 0, 1]",0.05287156874934832,1.0,False,1.0,0.026197742692588052,0
6,3,"[18, 13, 10, 11, 12, 15, 16, 17]","[18, 13, 10, 11, 12, 15, 16, 17]","[0, 3, 3]","[2, 3, 4]",0.2049470810840527,0.8,False,1.0,0.05297105538982504,0
7,3,"[18, 13, 10, 11, 12, 15, 16, 17]","[7, 13, 10, 11, 12, 15, 16, 17]","[0, 3, 3]","[2, 3, 4]",0.2048286797168354,0.8,False,1.0,0.1897672363032394,0
8,3,"[18, 13, 10, 11, 12, 15, 16, 17]","[17, 13, 10, 11, 12, 15, 16, 17]","[0, 3, 3]","[2, 0, 3]",0.27599459514021873,0.9,False,1.0,0.037016987270958084,0
9,3,"[18, 13, 10, 11, 12, 15, 16, 17]","[23, 13, 10, 11, 12, 15, 16, 17]","[0, 3, 3]","[2, 0, 1]",0.1335631621380647,0.9,False,1.0,0.044344110295896154,0
